Package                             Version                         Status
libtiff6                            4.4.0-1                         OK
libtirpc-common                     1.3.2-1                         OK
libtirpc3                           1.3.2-1                         OK
libtool                             2.4.7-1                         OK
libunistring2                       0.9.10-1                        OK
libunwind-devel                     8.0.1-1                         OK
libunwind1                          8.0.1-1                         OK
libusb0                             1.2.6.0-2                       OK
libuuid-devel                       2.33.1-2                        OK
libuuid1                            2.33.1-2                        OK
libuv1                              1.43.0-1                        OK
libwebp7                            1.2.3-1                         OK
libwebpdemux2                       1.2.3-1                         OK
libwebpmux3                         1.2.3-1                         OK
libX11-xcb1                         1.8-1                           OK
libX11_6                            1.8-1                           OK
libxapian30                         1.4.5-1                         OK
libXau6                             1.0.9-1                         OK
libXaw7                             1.0.14-1                        OK
libxcb-composite0                   1.15-1                          OK
libxcb-ewmh2                        0.4.1-1                         OK
libxcb-glx0                         1.15-1                          OK
libxcb-icccm4                       0.4.1-1                         OK
libxcb-image0                       0.4.0-1                         OK
libxcb-keysyms1                     0.4.0-1                         OK
libxcb-randr0                       1.15-1                          OK
libxcb-render-util0                 0.3.9-1                         OK
libxcb-render0                      1.15-1                          OK
libxcb-shape0                       1.15-1                          OK
libxcb-shm0                         1.15-1                          OK
libxcb-sync1                        1.15-1                          OK
libxcb-util1                        0.4.0-1                         OK
libxcb-xfixes0                      1.15-1                          OK
libxcb-xinerama0                    1.15-1                          OK
libxcb-xkb1                         1.15-1                          OK
libxcb1                             1.15-1                          OK
libXcomposite1                      0.4.5-1                         OK
libXcursor1                         1.2.1-1                         OK
libXdamage1                         1.1.5-1                         OK
libXdmcp6                           1.1.3-1                         OK
libXext6                            1.3.4-1                         OK
libXfixes3                          6.0.0-1                         OK
libXfont2_2                         2.0.5-1                         OK
libXft2                             2.3.4-1                         OK
libXi6                              1.8-1                           OK
libXinerama1                        1.1.4-1                         OK
libxkbcommon0                       1.4.0-1                         OK
libxkbfile1                         1.1.0-1                         OK
libxml2                             2.9.12-2                        OK
libXmu6                             1.1.3-1                         OK
libXmuu1                            1.1.3-1                         OK
libXpm4                             3.5.13-1                        OK
libXrandr2                          1.5.2-1                         OK
libXrender1                         0.9.10-1                        OK
libxslt                             1.1.29-1                        OK
libXss1                             1.2.3-1                         OK
libXt6                              1.2.1-1                         OK
libXtst6                            1.2.3-1                         OK
libxxhash0                          0.8.0-1                         OK
libzstd1                            1.5.2-1                         OK
libzzip0.13                         0.13.71-1                       OK
login                               1.13-1                          OK
luit                                20220111-1                      OK
m4                                  1.4.19-1                        OK
make                                4.3-1                           OK
man-db                              2.10.2-1                        OK
mariadb-common                      3.0.9-1                         OK
mcpp                                2.7.2-2                         OK
mintty                              3.6.1-1                         OK
mysql-common                        10.3.14-1                       OK
ncurses                             6.1-1.20190727                  OK
openmpi                             4.1.2-1                         OK
openssh                             9.0p1-1                         OK
openssl                             1.1.1q-1                        OK
p11-kit                             0.23.20-1                       OK
p11-kit-trust                       0.23.20-1                       OK
perl                                5.32.1-2                        OK
perl-Class-Inspector                1.36-3                          OK
perl-Encode-Locale                  1.05-4                          OK
perl-Error                          0.17029-2                       OK
perl-File-Listing                   6.15-1                          OK
perl-File-ShareDir                  1.118-2                         OK
perl-File-Which                     1.27-1                          OK
perl-HTML-Parser                    3.78-1                          OK
perl-HTML-Tagset                    3.20-8                          OK
perl-HTTP-Cookies                   6.10-2                          OK
perl-HTTP-Date                      6.05-2                          OK
perl-HTTP-Message                   6.37-1                          OK
perl-HTTP-Negotiate                 6.01-8                          OK
perl-IO-HTML                        1.004-2                         OK
perl-IO-String                      1.08-8                          OK
perl-libwww-perl                    6.67-1                          OK
perl-LWP-MediaTypes                 6.04-3                          OK
perl-Net-HTTP                       6.22-1                          OK
perl-TermReadKey                    2.38-3                          OK
perl-Test-Harness                   3.44-1                          OK
perl-TimeDate                       2.33-2                          OK
perl-Tk                             804.036-1                       OK
perl-Try-Tiny                       0.31-1                          OK
perl-Unicode-Normalize              1.26-3                          OK
perl-URI                            5.12-1                          OK
perl-WWW-RobotRules                 6.02-8                          OK
perl-XML-Parser                     2.46-3                          OK
perl_autorebase                     5.32.1-2                        OK
perl_base                           5.32.1-2                        OK
pkg-config                          1.8.0-1                         OK
pkgconf                             1.8.0-1                         OK
poppler-data                        0.4.10-1                        OK
preview-latex                       13.1-1                          OK
publicsuffix-list-dafsa             20220430-1                      OK
python2                             2.7.18-4                        OK
python2-devel                       2.7.18-4                        OK
python27                            2.7.18-4                        OK
python27-devel                      2.7.18-4                        OK
python27-numpy                      1.16.2-1                        OK
python27-pip                        20.3.3-2                        OK
python27-setuptools                 41.2.0-1                        OK
python3                             3.9.10-1                        OK
python3-boost.mpi                   1.66.0-1                        OK
python36                            3.6.15-1                        OK
python36-cffi                       1.15.0-1                        OK
python36-cython                     0.29.25-1                       OK
python36-devel                      3.6.15-1                        OK
python36-nose                       1.3.7-4                         OK
python36-numpy                      1.19.4-1                        OK
python36-pip                        21.3.1-3                        OK
python36-ply                        3.11-3                          OK
python36-pycparser                  2.20-2                          OK
python36-setuptools                 59.5.0-1                        OK
python39                            3.9.10-1                        OK
python39-chardet                    4.0.0-2                         OK
python39-devel                      3.9.10-1                        OK
python39-imaging                    8.4.0-1                         OK
python39-olefile                    0.46-3                          OK
python39-pip                        21.3.1-3                        OK
python39-pygments                   2.10.0-1                        OK
python39-setuptools                 59.5.0-1                        OK
qt5-devel-tools                     5.9.4-1                         OK
qt5-doc-tools                       5.9.4-1                         OK
qt5-linguist-tools                  5.9.4-1                         OK
rebase                              4.6.1-1                         OK
rsync                               3.2.3+20200903+git9f9240b-4     OK
run                                 1.3.4-2                         OK
sed                                 4.8-1                           OK
setxkbmap                           1.3.3-1                         OK
shared-mime-info                    2.2-1                           OK
swig                                4.0.2-1                         OK      <4.0.1>
swig-debuginfo                      4.0.2-1                         OK
tar                                 1.34-1                          OK
tcl                                 8.6.12-1                        OK
tcl-devel                           8.6.12-1                        OK
tcl-tk                              8.6.12-1                        OK
tcl-tk-devel                        8.6.12-1                        OK
tcsh                                6.24.01-1                       OK
terminfo                            6.1-1.20190727                  OK
terminfo-extra                      6.1-1.20190727                  OK
texinfo                             6.8-2                           OK
texlive                             20220321-1                      OK
texlive-collection-basic            20220321-1                      OK
texlive-collection-fontsrecommended 20220321-1                      OK
texlive-collection-fontutils        20220321-1                      OK
texlive-collection-latex            20220321-1                      OK
texlive-collection-latexextra       20220321-1                      OK
texlive-collection-latexrecommended 20220321-1                      OK
texlive-collection-pictures         20220321-1                      OK
texlive-collection-plaingeneric     20220321-1                      OK
tzcode                              2022a-1                         OK
tzdata                              2022a-1                         OK
unzip                               6.0-18                          OK
urw-base35-fonts                    20170801-5                      OK
util-linux                          2.33.1-2                        OK
vim-minimal                         8.2.4372-1                      OK
w32api-headers                      10.0.0-1                        OK
w32api-runtime                      10.0.0-1                        OK
wget                                1.21.3-1                        OK
which                               2.20-2                          OK
windows-default-manifest            6.4-1                           OK
xauth                               1.1.2-1                         OK
xcursor-themes                      1.0.6-1                         OK
xdg-user-dirs                       0.16-1                          OK
xinit                               1.4.1-1                         OK
xkbcomp                             1.4.5-1                         OK
xkeyboard-config                    2.35.1-1                        OK
xlaunch                             20160530-1                      OK
xmodmap                             1.0.10-1                        OK
xorg-server                         21.1.3-1                        OK
xorg-server-common                  21.1.3-1                        OK
xrdb                                1.2.1-1                         OK
xterm                               370-1                           OK
xwin-xdg-menu                       20210918-1                      OK
xz                                  5.2.5-1                         OK
zip                                 3.0-13                          OK
zlib-devel                          1.2.12-1                        OK
zlib0                               1.2.12-1                        OK
zstd                                1.5.2-1                         OK
